,index,HR_Mean,HR_Median,HR_std,HR_Min,HR_Max,HR_AUC,Round,Phase,Individual,Puzzler,Frustrated,Cohort
867,122,73.79334470989761,74.47,2.423965053960752,64.61,76.22,21552.095,round_3,phase1,11,0,1,D1_2
868,59,69.32238425925925,64.185,11.679892595989845,57.53,95.6,29878.585,round_1,phase1,5,0,5,D1_1
869,4,77.32222580645161,74.55,6.047603222640392,70.52,90.15,23890.565,round_2,phase2,1,1,5,D1_1
870,154,88.47687296416937,86.7,4.947903364661782,80.85,99.82,27076.185,round_1,phase2,13,1,1,D1_2
871,54,69.34121621621621,66.82499999999999,7.181643870681382,61.73,87.48,20453.45,round_4,phase3,5,0,2,D1_1
872,34,84.9991884816754,85.2,4.690458301407477,73.97,98.37,32374.805,round_1,phase2,3,1,2,D1_1
873,82,81.14009174311927,80.03,6.6367641326540605,70.55,99.95,35299.46,round_1,phase2,7,1,3,D1_1
874,32,83.66142405063292,83.07499999999999,3.334019767024754,78.33,93.55,26349.56,round_4,phase1,3,1,3,D1_1
875,25,79.63875409836065,78.83,5.830838593699953,70.0,91.65,24199.705,round_3,phase2,3,1,4,D1_1
876,19,66.05290429042904,65.07,4.748375478293847,59.15,73.88,19946.605,round_4,phase2,2,0,5,D1_1
877,78,68.34938983050847,69.1,3.890979577870647,61.62,77.05,20090.94,round_4,phase3,7,1,2,D1_1
878,21,78.53584775086506,70.18,15.509766324769757,68.4,113.78,22607.06,round_1,phase3,2,0,2,D1_1
879,71,77.25604118993135,76.25,5.750076196395535,67.08,88.2,33681.08,round_1,phase1,6,0,0,D1_1
880,24,84.27319587628865,84.15,3.225657338961585,78.6,90.62,24440.160000000003,round_3,phase3,3,1,3,D1_1
881,102,74.4808445945946,74.185,3.080844639221772,69.98,81.85,21968.705,round_4,phase3,9,1,4,D1_2
882,54,69.34121621621621,66.82499999999999,7.181643870681382,61.73,87.48,20453.45,round_4,phase3,5,0,2,D1_1
883,114,70.42105802047783,69.55,2.453416245568484,68.45,81.03,20556.72,round_4,phase3,10,0,0,D1_2
884,22,77.07753709198812,69.77,16.91089639352975,60.23,114.48,25902.395,round_1,phase2,2,0,4,D1_1
885,27,83.5448,82.95,2.499542249450912,79.5,88.13,27067.16,round_2,phase3,3,1,4,D1_1
886,110,74.9592832764505,74.7,2.30015525792837,71.42,81.87,21885.08,round_3,phase1,10,0,0,D1_2
887,87,79.40102167182663,78.25,6.552626319718246,71.1,90.87,25570.125,round_2,phase3,8,0,1,D1_1
888,154,88.47687296416937,86.7,4.947903364661782,80.85,99.82,27076.185,round_1,phase2,13,1,1,D1_2
889,15,72.93326984126983,71.32,4.667086862663014,68.27,84.32,22897.795,round_2,phase3,2,0,2,D1_1
890,10,74.22255255255256,75.5,4.74187158996253,63.92,80.85,24642.54,round_1,phase2,1,1,1,D1_1
891,50,69.9052249134948,72.05,4.725067169709448,59.43,75.38,20135.255,round_3,phase1,5,0,2,D1_1
892,13,74.94602564102563,75.82,3.761098505381916,65.42,81.5,23305.9,round_3,phase2,2,0,4,D1_1
893,45,76.73518207282913,76.13,4.486293706029105,62.23,85.08,27328.01,round_1,phase3,4,1,1,D1_1
894,61,80.48216129032258,81.48,3.320919401264373,74.5,85.8,24870.21,round_3,phase2,6,0,2,D1_1
895,54,69.34121621621621,66.82499999999999,7.181643870681382,61.73,87.48,20453.45,round_4,phase3,5,0,2,D1_1
896,164,57.83989726027397,54.13,6.796646913571338,52.97,74.14,16825.739999999998,round_4,phase1,14,0,0,D1_2
897,63,75.22040677966102,75.07,4.595892706095332,67.17,95.6,22104.43,round_2,phase3,6,0,6,D1_1
898,161,63.38380471380471,59.88,8.159219375227375,57.33,87.38,18751.74,round_2,phase1,14,0,0,D1_2
899,65,80.36322033898304,79.68,4.051832725777331,74.73,88.05,23625.475,round_2,phase1,6,0,1,D1_1
900,65,80.36322033898304,79.68,4.051832725777331,74.73,88.05,23625.475,round_2,phase1,6,0,1,D1_1
901,106,86.02110344827585,86.57499999999999,3.6802601866124274,79.12,91.65,24857.58,round_1,phase2,9,1,2,D1_2
902,91,77.61632911392404,76.95,10.587385986983374,60.7,93.38,24454.49,round_4,phase2,8,0,3,D1_1
903,84,71.88823728813558,71.58,3.889529501034951,64.25,82.95,21130.215,round_3,phase3,8,0,2,D1_1
904,90,70.3712837837838,69.285,4.295085055554547,66.33,82.82,20755.02,round_4,phase3,8,0,1,D1_1
905,65,80.36322033898304,79.68,4.051832725777331,74.73,88.05,23625.475,round_2,phase1,6,0,1,D1_1
906,67,79.00255813953487,77.9,5.434653233412584,71.05,88.0,23697.21,round_4,phase2,6,0,5,D1_1
907,145,80.16660000000002,79.785,6.02452571913078,71.93,90.48,23967.55,round_3,phase2,13,1,1,D1_2
908,22,77.07753709198812,69.77,16.91089639352975,60.23,114.48,25902.395,round_1,phase2,2,0,4,D1_1
909,42,67.08616438356164,63.75,6.71746334264853,59.45,80.28,19517.93,round_4,phase3,4,1,4,D1_1
910,130,93.46495145631069,94.88,7.187331324790251,74.25,101.68,28792.96,round_1,phase2,11,0,4,D1_2
911,35,78.50908675799086,78.33,2.1626306310742027,75.13,85.12,34309.265,round_1,phase1,3,1,1,D1_1
912,126,73.15719594594594,73.28999999999999,1.5276874876034428,70.77,75.62,21580.835,round_4,phase3,11,0,1,D1_2
913,50,69.9052249134948,72.05,4.725067169709448,59.43,75.38,20135.255,round_3,phase1,5,0,2,D1_1
914,87,79.40102167182663,78.25,6.552626319718246,71.1,90.87,25570.125,round_2,phase3,8,0,1,D1_1
915,159,66.97862542955326,55.97,21.440490670061784,54.67,121.58,19402.795,round_2,phase3,14,0,1,D1_2
916,88,93.1071103896104,85.0,14.624399798730764,76.38,123.05,28592.0,round_2,phase2,8,0,3,D1_1
917,80,71.27470790378007,69.53,6.331068126412963,63.05,87.33,20666.765,round_4,phase1,7,1,3,D1_1
918,164,57.83989726027397,54.13,6.796646913571338,52.97,74.14,16825.739999999998,round_4,phase1,14,0,0,D1_2
919,166,70.83431972789116,70.44,2.3911599238411947,66.65,76.07,20753.005,round_1,phase2,14,0,4,D1_2
920,158,57.34146258503401,55.865,4.439402102491458,53.98,73.09,16793.184999999998,round_3,phase1,14,0,0,D1_2
921,103,83.7412925170068,85.21000000000001,4.214470160441807,72.88,87.48,24540.43,round_4,phase2,9,1,8,D1_2
922,143,72.8437074829932,71.99000000000001,2.4014796767183464,68.98,76.75,21342.575,round_1,phase1,12,1,0,D1_2
923,25,79.63875409836065,78.83,5.830838593699953,70.0,91.65,24199.705,round_3,phase2,3,1,4,D1_1
924,81,76.69508620689655,71.11,10.66091232388492,66.82,102.95,26617.24,round_1,phase3,7,1,3,D1_1
925,131,77.71542955326461,77.97,4.9491790407012655,67.67,84.67,22537.120000000003,round_1,phase1,11,0,0,D1_2
926,74,67.77526501766785,67.83,2.1867051991748085,63.33,73.42,19112.025,round_3,phase1,7,1,4,D1_1
927,153,85.05220689655174,85.275,2.2675679299432887,80.28,88.23,24580.655,round_1,phase3,13,1,1,D1_2
928,34,84.9991884816754,85.2,4.690458301407477,73.97,98.37,32374.805,round_1,phase2,3,1,2,D1_1
929,141,72.11307407407408,72.2,3.524340086146593,66.13,78.48,19397.47,round_1,phase3,12,1,0,D1_2
930,102,74.4808445945946,74.185,3.080844639221772,69.98,81.85,21968.705,round_4,phase3,9,1,4,D1_2
931,74,67.77526501766785,67.83,2.1867051991748085,63.33,73.42,19112.025,round_3,phase1,7,1,4,D1_1
932,60,69.97936026936027,68.43,4.140237939716774,62.85,77.97,20706.095,round_3,phase3,6,0,5,D1_1
933,79,86.77973333333333,85.68,7.668898439354421,75.5,103.07,25948.17,round_4,phase2,7,1,4,D1_1
934,148,92.55235494880544,94.05,13.055984283063736,70.02,113.17,27015.94,round_2,phase2,13,1,1,D1_2
935,23,69.15513698630136,68.34,2.532758349178557,64.75,75.32,30221.11,round_1,phase1,2,0,1,D1_1
